Year,MO,Edible,CommodityCode,Country,District,Kilos,Dollars,Trade
2005,01,E,0208200000,5700,04,92821,355011,0
2005,01,E,0302110090,1220,01,4167,19229,0
2005,01,E,0302120003,1220,01,1663988,7368222,0
2005,01,E,0302120003,1220,04,2230,17763,0
2005,01,E,0302120003,4091,01,31236,117417,0
2005,01,E,0302120003,4091,04,39841,131453,0
2005,01,E,0302120003,4120,01,19152,72535,0
2005,01,E,0302120003,4120,04,18876,97669,0
2005,01,E,0302120062,1220,04,1905,12380,0
2005,01,E,0302210010,1220,01,78299,847771,0
2005,01,E,0302210010,4000,04,384,4713,0
2005,01,E,0302210010,4039,04,5435,63661,0
2005,01,E,0302210010,4120,04,4743,57164,0
2005,01,E,0302210090,1220,01,4447,60169,0
2005,01,E,0302230000,1220,01,6534,16282,0
2005,01,E,0302230000,4210,04,810,19628,0
2005,01,E,0302230000,4279,04,484,14431,0
2005,01,E,0302290010,1220,01,18994,45003,0
2005,01,E,0302290010,1610,01,4631,27357,0
2005,01,E,0302320000,1220,04,1549,16221,0
2005,01,E,0302320000,2230,04,365,4121,0
2005,01,E,0302320000,2489,04,363,2400,0
2005,01,E,0302320000,3310,04,1254,5336,0
2005,01,E,0302320000,4210,04,210,5478,0
2005,01,E,0302340000,6810,04,2054,4109,0
2005,01,E,0302340000,7910,04,2807,21610,0
2005,01,E,0302350000,4700,04,674,18198,0
2005,01,E,0302350000,4890,04,820,14321,0
2005,01,E,0302400000,1220,01,45360,10540,0
2005,01,E,0302500010,1220,01,115084,304778,0
2005,01,E,0302620000,1220,01,640659,1734229,0
2005,01,E,0302620000,1610,01,1197,3300,0
2005,01,E,0302630000,1220,01,42949,57676,0
2005,01,E,0302640000,4710,04,1759,12192,0
2005,01,E,0302692010,1220,01,5001,16825,0
2005,01,E,0302692021,1220,01,544,3752,0
2005,01,E,0302692022,1220,01,579589,1158039,0
2005,01,E,0302692049,3550,04,1708,2110,0
2005,01,E,0302692049,6021,04,2422,31960,0
2005,01,E,0302692049,7910,04,954,2861,0
2005,01,E,0302692064,1220,01,5103,10125,0
2005,01,E,0302694040,2010,04,636,3835,0
2005,01,E,0302694075,1220,01,15874,59922,0
2005,01,E,0302694099,1220,01,156243,247145,0
2005,01,E,0302694099,2230,04,4016,19035,0
2005,01,E,0303210000,1220,01,473,2034,0
2005,01,E,0303220000,4039,04,18951,83874,0
2005,01,E,0303390020,1220,01,6525,12910,0
2005,01,E,0303390095,4210,04,83095,297683,0
2005,01,E,0303420060,5600,04,3856,15709,0
2005,01,E,0303500000,1220,01,44984,14270,0
2005,01,E,0303720000,4039,04,494030,1207649,0
2005,01,E,0303792015,1220,01,9776,28804,0
2005,01,E,0303792094,5700,04,146847,428171,0
2005,01,E,0303794030,1220,01,3105,8928,0
2005,01,E,0303794050,1220,01,21240,17917,0
2005,01,E,0303794075,5600,04,1996,8276,0
2005,01,E,0303794097,4000,04,8782,21844,0
2005,01,E,0303794097,4039,04,4711,7910,0
2005,01,E,0303804095,1220,01,38642,301632,0
2005,01,E,0304101020,1220,01,66026,302778,0
2005,01,E,0304101044,1220,01,9603,59461,0
2005,01,E,0304101044,4000,04,45585,415535,0
2005,01,E,0304101048,1220,01,581,5751,0
2005,01,E,0304101050,1220,01,18480,147305,0
2005,01,E,0304101050,4000,04,107248,886363,0
2005,01,E,0304104005,5700,04,17745,36377,0
2005,01,E,0304104063,1220,01,61786,369243,0
2005,01,E,0304104065,1220,01,2405,14359,0
2005,01,E,0304104075,1220,01,57127,290262,0
2005,01,E,0304104093,1220,01,420492,3423448,0
2005,01,E,0304104093,3370,01,8932,14546,0
2005,01,E,0304104093,4039,04,2594,22023,0
2005,01,E,0304104099,2230,04,8787,48627,0
2005,01,E,0304104099,3510,04,1728,12125,0
2005,01,E,0304202011,1220,01,44307,178550,0
2005,01,E,0304202011,4000,04,7186,33790,0
2005,01,E,0304202011,4621,04,1796,7633,0
2005,01,E,0304202012,4099,04,48499,242708,0
2005,01,E,0304202012,4621,04,45360,216917,0
2005,01,E,0304202012,5700,04,285171,739525,0
2005,01,E,0304202023,1220,01,27542,92309,0
2005,01,E,0304202023,1220,02,14152,68709,0
2005,01,E,0304202023,5700,04,31405,124846,0
2005,01,E,0304202028,1220,01,1512,4109,0
2005,01,E,0304202030,1220,01,8219,30052,0
2005,01,E,0304202030,4000,04,112719,402138,0
2005,01,E,0304202030,4039,04,280297,694202,0
2005,01,E,0304202030,4091,04,13471,66033,0
2005,01,E,0304202030,4621,04,50622,254737,0
2005,01,E,0304202030,5700,01,11206,44469,0
2005,01,E,0304202030,5700,04,51061,102751,0
2005,01,E,0304202044,5700,02,15876,21000,0
2005,01,E,0304202044,5700,04,1379044,2798026,0
2005,01,E,0304202055,3570,04,21106,45656,0
2005,01,E,0304202055,5700,04,41905,65946,0
2005,01,E,0304202061,1220,01,4536,15481,0
2005,01,E,0304202066,3370,04,84899,290710,0
2005,01,E,0304202066,5700,01,19534,68586,0
2005,01,E,0304203020,1220,01,88816,270796,0
2005,01,E,0304203020,4000,04,2495,14300,0
2005,01,E,0304203030,1220,01,238312,1499595,0
2005,01,E,0304203030,1220,04,13217,109260,0
2005,01,E,0304203030,4000,04,640970,4361184,0
2005,01,E,0304203030,4039,04,82652,651135,0
2005,01,E,0304203030,4550,04,12701,91550,0
2005,01,E,0304203030,4621,04,451870,2887213,0
2005,01,E,0304203030,5700,04,141239,608899,0
2005,01,E,0304203035,4000,04,21660,166801,0
2005,01,E,0304203035,5700,04,1435909,6698109,0
2005,01,E,0304203062,1220,01,9202,41445,0
2005,01,E,0304203062,4000,04,519425,2960129,0
2005,01,E,0304203062,4039,04,12503,67937,0
2005,01,E,0304203062,4091,04,11340,62576,0
2005,01,E,0304203062,4621,04,62051,269823,0
2005,01,E,0304203065,1220,01,1143,4202,0
2005,01,E,0304203065,5700,04,1460376,2850122,0
2005,01,E,0304203068,1220,01,6942,20673,0
2005,01,E,0304203068,4000,04,76143,191788,0
2005,01,E,0304203068,5700,04,445022,794528,0
2005,01,E,0304205000,1220,01,798,2935,0
2005,01,E,0304206005,3370,04,4763,21000,0
2005,01,E,0304206006,3370,04,217468,1332785,0
2005,01,E,0304206006,4039,04,113098,1016621,0
2005,01,E,0304206006,5700,04,46992,217762,0
2005,01,E,0304206008,5700,04,32658,152300,0
2005,01,E,0304206012,4470,04,13210,101091,0
2005,01,E,0304206012,5700,04,39914,127332,0
2005,01,E,0304206015,4470,04,2790,22518,0
2005,01,E,0304206032,5700,04,44919,190637,0
2005,01,E,0304206042,5700,04,325201,1079852,0
2005,01,E,0304206043,5700,04,39462,179308,0
